id,issue_id,participant_id,domain,reap_num,text,success,believable,valued,created_at,updated_at,deleted_at
5,10,14,career,1,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
6,11,14,relationship,1,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
7,10,14,career,2,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
8,11,14,relationship,2,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
9,10,14,career,3,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
10,11,14,relationship,3,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
11,10,14,career,4,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
12,11,14,relationship,4,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
13,10,14,career,5,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
14,11,14,relationship,5,,,,,2025-01-03 21:40:28.617167,2025-01-03 21:40:28.617178,
17,18,18,career,1,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
18,19,18,relationship,1,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
19,18,18,career,2,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
20,19,18,relationship,2,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
21,18,18,career,3,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
22,19,18,relationship,3,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
23,18,18,career,4,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
24,19,18,relationship,4,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
25,18,18,career,5,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
26,19,18,relationship,5,,,,,2025-01-03 21:48:02.555428,2025-01-03 21:48:02.555438,
27,20,19,career,1,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
28,21,19,relationship,1,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
29,20,19,career,2,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
30,21,19,relationship,2,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
31,20,19,career,3,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
32,21,19,relationship,3,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
33,20,19,career,4,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
34,21,19,relationship,4,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
35,20,19,career,5,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
36,21,19,relationship,5,,,,,2025-01-03 21:49:58.741509,2025-01-03 21:49:58.741521,
37,22,20,career,1,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
38,23,20,relationship,1,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
39,22,20,career,2,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
40,23,20,relationship,2,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
41,22,20,career,3,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
42,23,20,relationship,3,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
43,22,20,career,4,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
44,23,20,relationship,4,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
45,22,20,career,5,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
46,23,20,relationship,5,,,,,2025-01-03 21:51:00.913158,2025-01-03 21:51:00.913169,
47,24,21,career,1,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
48,25,21,relationship,1,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
49,24,21,career,2,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
50,25,21,relationship,2,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
51,24,21,career,3,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
52,25,21,relationship,3,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
53,24,21,career,4,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
54,25,21,relationship,4,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
55,24,21,career,5,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
56,25,21,relationship,5,,,,,2025-01-03 21:54:37.822471,2025-01-03 21:54:37.822483,
57,26,22,career,1,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
58,27,22,relationship,1,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
59,26,22,career,2,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
60,27,22,relationship,2,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
61,26,22,career,3,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
62,27,22,relationship,3,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
63,26,22,career,4,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
64,27,22,relationship,4,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
65,26,22,career,5,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
66,27,22,relationship,5,,,,,2025-01-03 21:59:57.878766,2025-01-03 21:59:57.878777,
67,28,23,career,1,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
68,29,23,relationship,1,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
69,28,23,career,2,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
70,29,23,relationship,2,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
71,28,23,career,3,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
72,29,23,relationship,3,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
73,28,23,career,4,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
74,29,23,relationship,4,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
75,28,23,career,5,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
76,29,23,relationship,5,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
77,30,24,career,1,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
78,31,24,relationship,1,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
79,30,24,career,2,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
80,31,24,relationship,2,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
81,30,24,career,3,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
82,31,24,relationship,3,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
83,30,24,career,4,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
84,31,24,relationship,4,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
85,30,24,career,5,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
86,31,24,relationship,5,,,,,2025-01-03 22:10:01.038384,2025-01-03 22:10:01.038395,
